RANK,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,REB,AST,STL,BLK
503,Matt Ryan,NOP,19,68,28,10,31,32.3,6,19,31.6,2,2,8,3,2,0
506,Spencer Jones,DEN,20,125,26,11,34,32.4,1,17,5.9,3,3,17,5,5,5
507,Jazian Gortman,DAL,16,57,24,9,23,39.1,4,11,36.4,2,4,5,6,2,1
507,N'Faly Dante,HOU,4,51,24,10,13,76.9,0,0,0,4,5,21,2,1,5
507,Vlatko Cancar,DEN,13,136,24,10,26,38.5,4,15,26.7,0,0,32,9,3,2
510,Jacob Toppin,ATL,17,75,23,9,22,40.9,5,10,50,0,0,15,6,2,0
510,Jae Crowder,SAC,9,103,23,7,22,31.8,4,15,26.7,5,6,20,6,3,0
510,Mason Jones,SAC,10,45,23,9,18,50,1,8,12.5,4,5,9,11,0,1
513,Jackson Rowe,GSW,6,52,22,8,17,47.1,3,10,30,3,6,11,4,4,0
514,E.J. Liddell,CHI,12,53,21,8,15,53.3,3,10,30,2,2,9,3,1,1
515,Leonard Miller,MIN,13,32,20,6,15,40,0,5,0,8,8,11,0,2,1
516,Cam Christie,LAC,13,59,18,7,24,29.2,2,13,15.4,2,4,12,6,5,1
516,Justin Minaya,POR,19,101,18,8,21,38.1,2,10,20,0,2,10,7,6,1
518,Jamaree Bouyea,MIL,5,62,17,6,12,50,1,5,20,4,6,5,10,4,2
519,David Duke Jr.,SAS,6,34,16,6,14,42.9,3,6,50,1,2,5,4,1,0
519,Malachi Flynn,SAS,4,44,16,5,13,38.5,1,4,25,5,6,7,7,3,0
521,Bobi Klintman,DET,8,42,15,6,10,60,2,5,40,1,2,7,7,2,1
521,Joe Ingles,MIN,19,114,15,6,23,26.1,3,15,20,0,0,11,23,2,0
521,Stanley Umude,MIL,22,86,15,5,26,19.2,3,15,20,2,4,17,4,3,6
524,Armel Traore,LAL,9,67,14,6,19,31.6,0,7,0,2,7,15,1,4,2
524,Jack McVeigh,HOU,9,43,14,5,17,29.4,4,13,30.8,0,0,5,1,0,2
524,Taylor Hendricks,UTA,3,75,14,4,18,22.2,3,12,25,3,4,15,2,5,4
524,Tolu Smith,DET,1,22,14,6,9,66.7,0,0,0,2,3,8,0,0,0
528,Bryce McGowens,POR,13,32,13,4,14,28.6,0,4,0,5,6,3,2,1,0
528,Isaiah Crawford,SAC,15,46,13,5,11,45.5,1,5,20,2,4,8,1,1,2
530,Luke Travers,CLE,12,88,12,5,20,25,0,9,0,2,2,20,8,1,1
531,Jahmir Young,CHI,6,30,11,4,5,80,1,2,50,2,2,3,6,0,0
531,Trentyn Flowers,LAC,6,27,11,4,11,36.4,0,2,0,3,3,4,0,0,0
